芦屋	アシヤ	アシヤ	アシヤ	名詞	固有名詞	地名	一般	*	*	2	-8	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	1	B-F
はじめ	ハジメ	ハジメ	始め	名詞	普通名詞	副詞可能	*	*	*	2	2	I-F
、	*	*	、	補助記号	読点	*	*	*	*	2	3	O
副	フク	フク	副	接頭辞	*	*	*	*	*	2	4	O
代官	ダイカン	ダイカン	代官	名詞	普通名詞	一般	*	*	*	2	5	O
や	ヤ	ヤ	や	助詞	副助詞	*	*	*	*	2	6	O
郷村	ゴーソン	ゴウソン	郷村	名詞	普通名詞	一般	*	*	*	2	7	O
出役	シュツヤク	シュツヤク	出役	名詞	普通名詞	サ変可能	*	*	*	2	8	O
（	*	*	（	補助記号	括弧開	*	*	*	*	2	9	O
ごう	ゴー	ゴウ	ごう	副詞	*	*	*	*	*	2	10	O
そん	ソン	ソノ	其の	連体詞	*	*	*	*	*	2	11	O
しゅ	シュ	シュ	シュ	記号	文字	*	*	*	*	2	12	O
つ	ツ	ツ	つ	接尾辞	名詞的	助数詞	*	*	*	2	13	O
やく	ヤク	ヤク	役	名詞	普通名詞	一般	*	*	*	2	14	O
）	*	*	）	補助記号	括弧閉	*	*	*	*	2	15	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	16	O
設け	モーケ	モウケル	設ける	動詞	一般	*	*	下一段-カ行	連用形-一般	2	17	O
、	*	*	、	補助記号	読点	*	*	*	*	2	18	O
桑	クワ	クワ	桑	名詞	普通名詞	一般	*	*	*	2	19	O
、	*	*	、	補助記号	読点	*	*	*	*	2	20	O
漆	ウルシ	ウルシ	漆	名詞	普通名詞	一般	*	*	*	2	21	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	22	O
百	ヒャク	ヒャク	百	名詞	数詞	*	*	*	*	2	23	O
万	マン	マン	万	名詞	数詞	*	*	*	*	2	24	O
本	ポン	ホン	本	接尾辞	名詞的	助数詞	*	*	*	2	25	O
植	ショク	ショク	植	名詞	普通名詞	一般	*	*	*	2	26	O
立	リツ	リツ	立	接尾辞	名詞的	一般	*	*	*	2	27	O
策	サク	サク	策	名詞	普通名詞	一般	*	*	*	2	28	O
など	ナド	ナド	など	助詞	副助詞	*	*	*	*	2	29	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	30	O
農村	ノーソン	ノウソン	農村	名詞	普通名詞	一般	*	*	*	2	31	O
統制	トーセー	トウセイ	統制	名詞	普通名詞	サ変可能	*	*	*	2	32	O
、	*	*	、	補助記号	読点	*	*	*	*	2	33	O
江戸	エド	エド	エド	名詞	固有名詞	地名	一般	*	*	2	34	O
から	カラ	カラ	から	助詞	格助詞	*	*	*	*	2	35	O
学者	ガクシャ	ガクシャ	学者	名詞	普通名詞	一般	*	*	*	2	36	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	37	O
招い	マネー	マネク	招く	動詞	一般	*	*	五段-カ行	連用形-イ音便	2	38	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	39	O
興譲	コージョー	コウジョウ	興譲	名詞	固有名詞	一般	*	*	*	2	40	O
館	カン	カン	館	接尾辞	名詞的	一般	*	*	*	2	41	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	42	O
創設	ソーセツ	ソウセツ	創設	名詞	普通名詞	サ変可能	*	*	*	2	43	O
する	スル	スル	為る	動詞	非自立可能	*	*	サ行変格	終止形-一般	2	44	O
など	ナド	ナド	など	助詞	副助詞	*	*	*	*	2	45	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	2	46	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	2	47	O
。	*	*	。	補助記号	句点	*	*	*	*	2	48	O

有権	ユーケン	ユウケン	有権	名詞	普通名詞	一般	*	*	*	4	-30	O
者	シャ	シャ	者	接尾辞	名詞的	一般	*	*	*	4	-29	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	4	-28	O
いま	イマ	イマ	今	名詞	普通名詞	副詞可能	*	*	*	4	-27	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	4	-26	O
政党	セートー	セイトウ	政党	名詞	普通名詞	一般	*	*	*	4	-25	O
政治	セージ	セイジ	政治	名詞	普通名詞	一般	*	*	*	4	-24	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	4	-23	O
ほとほと	ホトホト	ホトホト	ほとほと	副詞	*	*	*	*	*	4	-22	O
愛想	アイソ	アイソ	愛想	名詞	普通名詞	一般	*	*	*	4	-21	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	4	-20	O
つかし	ツカシ	ツカス	尽かす	動詞	一般	*	*	五段-サ行	連用形-一般	4	-19	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	4	-18	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	4	-17	O
いう	ユー	イウ	言う	動詞	一般	*	*	五段-ワア行	連体形-一般	4	-16	O
の	ノ	ノ	の	助詞	準体助詞	*	*	*	*	4	-15	O
も	モ	モ	も	助詞	係助詞	*	*	*	*	4	-14	O
、	*	*	、	補助記号	読点	*	*	*	*	4	-13	O
その	ソノ	ソノ	其の	連体詞	*	*	*	*	*	4	-12	O
通り	トーリ	トオリ	通り	名詞	普通名詞	助数詞可能	*	*	*	4	-11	O
でしょう	デショー	デス	です	助動詞	*	*	*	助動詞-デス	意志推量形	4	-10	O
が	ガ	ガ	が	助詞	接続助詞	*	*	*	*	4	-9	O
、	*	*	、	補助記号	読点	*	*	*	*	4	-8	O
いくら	イクラ	イクラ	幾ら	副詞	*	*	*	*	*	4	-7	O
価値	カチ	カチ	価値	名詞	普通名詞	一般	*	*	*	4	-6	O
観	カン	カン	観	接尾辞	名詞的	一般	*	*	*	4	-5	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	4	-4	O
多様	タヨー	タヨウ	多様	形状詞	一般	*	*	*	*	4	-3	O
化	カ	カ	化	接尾辞	名詞的	サ変可能	*	*	*	4	-2	O
時代	ジダイ	ジダイ	時代	名詞	普通名詞	一般	*	*	*	4	-1	O
だ	ダ	ダ	だ	助動詞	*	*	*	助動詞-ダ	終止形-一般	4	0	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	4	1	B-F
いっ	イッ	イウ	言う	動詞	一般	*	*	五段-ワア行	連用形-促音便	4	2	I-F
て	テ	テ	て	助詞	接続助詞	*	*	*	*	4	3	I-F
も	モ	モ	も	助詞	係助詞	*	*	*	*	4	4	I-F
、	*	*	、	補助記号	読点	*	*	*	*	4	5	O
あまり	アマリ	アマリ	余り	形状詞	一般	*	*	*	*	4	6	O
に	ニ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-ニ	4	7	O
多く	オーク	オオク	多く	名詞	普通名詞	副詞可能	*	*	*	4	8	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	4	9	O
政党	セートー	セイトウ	政党	名詞	普通名詞	一般	*	*	*	4	10	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	4	11	O
乱立	ランリツ	ランリツ	乱立	名詞	普通名詞	サ変可能	*	*	*	4	12	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	4	13	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	4	14	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	4	15	O
、	*	*	、	補助記号	読点	*	*	*	*	4	16	O
選択	センタク	センタク	選択	名詞	普通名詞	サ変可能	*	*	*	4	17	O
も	モ	モ	も	助詞	係助詞	*	*	*	*	4	18	O
むずかしく	ムズカシク	ムズカシイ	難しい	形容詞	一般	*	*	形容詞	連用形-一般	4	19	O
、	*	*	、	補助記号	読点	*	*	*	*	4	20	O
投票	トーヒョー	トウヒョウ	投票	名詞	普通名詞	サ変可能	*	*	*	4	21	O
意欲	イヨク	イヨク	意欲	名詞	普通名詞	一般	*	*	*	4	22	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	4	23	O
失わ	ウシナワ	ウシナウ	失う	動詞	一般	*	*	五段-ワア行	未然形-一般	4	24	O
せ	セ	セル	せる	助動詞	*	*	*	下一段-サ行	連用形-一般	4	25	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	4	26	O
の	ノ	ノ	の	助詞	準体助詞	*	*	*	*	4	27	O
か	カ	カ	か	助詞	副助詞	*	*	*	*	4	28	O
も	モ	モ	も	助詞	係助詞	*	*	*	*	4	29	O
しれ	シレ	シレル	知れる	動詞	一般	*	*	下一段-ラ行	連用形-一般	4	30	O
ませ	マセ	マス	ます	助動詞	*	*	*	助動詞-マス	未然形-一般	4	31	O
ん	ン	ズ	ず	助動詞	*	*	*	助動詞-ヌ	終止形-撥音便	4	32	O
。	*	*	。	補助記号	句点	*	*	*	*	4	33	O

長崎	ナガサキ	ナガサキ	ナガサキ	名詞	固有名詞	地名	一般	*	*	4	-8	O
市民	シミン	シミン	市民	名詞	普通名詞	一般	*	*	*	4	-7	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	4	-6	O
苦しみ	クルシミ	クルシミ	苦しみ	名詞	普通名詞	一般	*	*	*	4	-5	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	4	-4	O
二	ニ	ニ	二	名詞	数詞	*	*	*	*	4	-3	O
度	ド	ド	度	名詞	普通名詞	助数詞可能	*	*	*	4	-2	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	4	-1	O
繰り返し	クリカエシ	クリカエス	繰り返す	動詞	一般	*	*	五段-サ行	連用形-一般	4	0	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	4	1	B-F
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	4	2	I-F
なら	ナラ	ナル	成る	動詞	非自立可能	*	*	五段-ラ行	未然形-一般	4	3	I-F
ない	ナイ	ナイ	ない	助動詞	*	*	*	助動詞-ナイ	終止形-一般	4	4	I-F
。	*	*	。	補助記号	句点	*	*	*	*	4	5	O

しかし	シカシ	シカシ	然し	接続詞	*	*	*	*	*	2	-10	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-9	O
阪神	ハンシン	ハンシン	ハンシン	名詞	固有名詞	地名	一般	*	*	2	-8	O
大	ダイ	ダイ	大	接頭辞	*	*	*	*	*	2	-7	O
震災	シンサイ	シンサイ	震災	名詞	普通名詞	一般	*	*	*	2	-6	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	-5	O
きっかけ	キッカケ	キッカケ	切っ掛け	名詞	普通名詞	一般	*	*	*	2	-4	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	-3	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-2	O
安全	アンゼン	アンゼン	安全	名詞	普通名詞	形状詞可能	*	*	*	2	-1	O
性	セー	セイ	性	接尾辞	名詞的	一般	*	*	*	2	0	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	1	B-C
はじめ	ハジメ	ハジメ	始め	名詞	普通名詞	副詞可能	*	*	*	2	2	I-C
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	3	O
する	スル	スル	為る	動詞	非自立可能	*	*	サ行変格	連体形-一般	2	4	O
住宅	ジュータク	ジュウタク	住宅	名詞	普通名詞	一般	*	*	*	2	5	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	6	O
質	シツ	シツ	質	名詞	普通名詞	一般	*	*	*	2	7	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	8	O
問題	モンダイ	モンダイ	問題	名詞	普通名詞	一般	*	*	*	2	9	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	10	O
する	スル	スル	為る	動詞	非自立可能	*	*	サ行変格	連体形-一般	2	11	O
人	ヒト	ヒト	人	名詞	普通名詞	一般	*	*	*	2	12	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	13	O
増え	フエ	フエル	増える	動詞	一般	*	*	下一段-ア行	連用形-一般	2	14	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	15	O
き	キ	クル	来る	動詞	非自立可能	*	*	カ行変格	連用形-一般	2	16	O
まし	マシ	マス	ます	助動詞	*	*	*	助動詞-マス	連用形-一般	2	17	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	2	18	O
。	*	*	。	補助記号	句点	*	*	*	*	2	19	O

一	イチ	イチ	一	名詞	数詞	*	*	*	*	3	-18	O
九	キュー	キュウ	九	名詞	数詞	*	*	*	*	3	-17	O
八	ハチ	ハチ	八	名詞	数詞	*	*	*	*	3	-16	O
五	ゴ	ゴ	五	名詞	数詞	*	*	*	*	3	-15	O
年	ネン	ネン	年	名詞	普通名詞	助数詞可能	*	*	*	3	-14	O
五	ゴ	ゴ	五	名詞	数詞	*	*	*	*	3	-13	O
月	ガツ	ガツ	月	名詞	普通名詞	助数詞可能	*	*	*	3	-12	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	-11	O
人民	ジンミン	ジンミン	人民	名詞	普通名詞	一般	*	*	*	3	-10	O
解放	カイホー	カイホウ	解放	名詞	普通名詞	サ変可能	*	*	*	3	-9	O
軍	グン	グン	軍	名詞	普通名詞	一般	*	*	*	3	-8	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	-7	O
兵員	ヘーイン	ヘイイン	兵員	名詞	普通名詞	一般	*	*	*	3	-6	O
削減	サクゲン	サクゲン	削減	名詞	普通名詞	サ変可能	*	*	*	3	-5	O
数	スー	スウ	数	名詞	普通名詞	一般	*	*	*	3	-4	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	3	-3	O
百	ヒャク	ヒャク	百	名詞	数詞	*	*	*	*	3	-2	O
万	マン	マン	万	名詞	数詞	*	*	*	*	3	-1	O
人	ニン	ニン	人	接尾辞	名詞的	一般	*	*	*	3	0	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	1	B-C
する	スル	スル	為る	動詞	非自立可能	*	*	サ行変格	終止形-一般	3	2	I-C
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	3	I-C
宣言	センゲン	センゲン	宣言	名詞	普通名詞	サ変可能	*	*	*	3	4	O
。	*	*	。	補助記号	句点	*	*	*	*	3	5	O

中国	チューゴク	チュウゴク	中国	名詞	固有名詞	地名	国	*	*	2	-10	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	-9	O
人口	ジンコー	ジンコウ	人口	名詞	普通名詞	一般	*	*	*	2	-8	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	-7	O
十	ジュー	ジュウ	十	名詞	数詞	*	*	*	*	2	-6	O
二	ニ	ニ	二	名詞	数詞	*	*	*	*	2	-5	O
億	オク	オク	億	名詞	数詞	*	*	*	*	2	-4	O
人	ニン	ニン	人	接尾辞	名詞的	一般	*	*	*	2	-3	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	-2	O
超え	コエ	コエル	越える	動詞	一般	*	*	下一段-ア行	連用形-一般	2	-1	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	2	0	O
こと	コト	コト	事	名詞	普通名詞	一般	*	*	*	2	1	B-M
で	デ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-一般	2	2	I-M
、	*	*	、	補助記号	読点	*	*	*	*	2	3	O
東	ヒガシ	ヒガシ	東	名詞	普通名詞	一般	*	*	*	2	4	O
アジア	アジア	アジア	アジア-Asia	名詞	固有名詞	地名	一般	*	*	2	5	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	6	O
おけ	オケ	オク	於く	動詞	一般	*	*	文語四段-カ行	命令形	2	7	O
る	ル	リ	り	助動詞	*	*	*	文語助動詞-リ	連体形-一般	2	8	O
二十	ニジュー	ニジュウ	二十	名詞	数詞	*	*	*	*	2	9	O
一	イチ	イチ	一	名詞	数詞	*	*	*	*	2	10	O
世紀	セーキ	セイキ	世紀	名詞	普通名詞	一般	*	*	*	2	11	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	12	O
極端	キョクタン	キョクタン	極端	名詞	普通名詞	形状詞可能	*	*	*	2	13	O
な	ナ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連体形-一般	2	14	O
食糧	ショクリョー	ショクリョウ	食糧	名詞	普通名詞	一般	*	*	*	2	15	O
難	ナン	ナン	難	名詞	普通名詞	一般	*	*	*	2	16	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	17	O
予想	ヨソー	ヨソウ	予想	名詞	普通名詞	サ変可能	*	*	*	2	18	O
できる	デキル	デキル	出来る	動詞	非自立可能	*	*	上一段-カ行	終止形-一般	2	19	O
。	*	*	。	補助記号	句点	*	*	*	*	2	20	O

旧	キュー	キュウ	旧	名詞	普通名詞	一般	*	*	*	3	-13	O
黒人	コクジン	コクジン	黒人	名詞	普通名詞	一般	*	*	*	3	-12	O
居住	キョジュー	キョジュウ	居住	名詞	普通名詞	サ変可能	*	*	*	3	-11	O
区	ク	ク	区	接尾辞	名詞的	一般	*	*	*	3	-10	O
・	*	*	・	補助記号	一般	*	*	*	*	3	-9	O
ソウェト	ソウェト	ソウェト	ソウェト-Soweto	名詞	固有名詞	地名	一般	*	*	3	-8	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	3	-7	O
開か	ヒラカ	ヒラク	開く	動詞	一般	*	*	五段-カ行	未然形-一般	3	-6	O
れる	レル	レル	れる	助動詞	*	*	*	助動詞-レル	連体形-一般	3	-5	O
コンサート	コンサート	コンサート	コンサート-concert	名詞	普通名詞	一般	*	*	*	3	-4	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	-3	O
券	ケン	ケン	券	名詞	普通名詞	一般	*	*	*	3	-2	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	3	-1	O
買おう	カオー	カウ	買う	動詞	一般	*	*	五段-ワア行	意志推量形	3	0	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	1	B-B
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	3	2	I-B
たら	タラ	タ	た	助動詞	*	*	*	助動詞-タ	仮定形-一般	3	3	I-B
、	*	*	、	補助記号	読点	*	*	*	*	3	4	O
売り場	ウリバ	ウリバ	売り場	名詞	普通名詞	一般	*	*	*	3	5	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	6	O
白人	ハクジン	ハクジン	白人	名詞	普通名詞	一般	*	*	*	3	7	O
女性	ジョセー	ジョセイ	女性	名詞	普通名詞	一般	*	*	*	3	8	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	9	O
こう	コー	コウ	こう	副詞	*	*	*	*	*	3	10	O
忠告	チューコク	チュウコク	忠告	名詞	普通名詞	サ変可能	*	*	*	3	11	O
さ	サ	スル	為る	動詞	非自立可能	*	*	サ行変格	未然形-サ	3	12	O
れ	レ	レル	れる	助動詞	*	*	*	助動詞-レル	連用形-一般	3	13	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	3	14	O
。	*	*	。	補助記号	句点	*	*	*	*	3	15	O

西欧	セーオー	セイオウ	セイオウ	名詞	固有名詞	地名	一般	*	*	2	-49	O
的	テキ	テキ	的	接尾辞	形状詞的	*	*	*	*	2	-48	O
な	ナ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連体形-一般	2	-47	O
理念	リネン	リネン	理念	名詞	普通名詞	一般	*	*	*	2	-46	O
や	ヤ	ヤ	や	助詞	副助詞	*	*	*	*	2	-45	O
表現	ヒョーゲン	ヒョウゲン	表現	名詞	普通名詞	サ変可能	*	*	*	2	-44	O
論	ロン	ロン	論	名詞	普通名詞	一般	*	*	*	2	-43	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	-42	O
距離	キョリ	キョリ	距離	名詞	普通名詞	一般	*	*	*	2	-41	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	-40	O
置い	オイ	オク	置く	動詞	非自立可能	*	*	五段-カ行	連用形-イ音便	2	-39	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	-38	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-37	O
より	ヨリ	ヨリ	より	副詞	*	*	*	*	*	2	-36	O
内在	ナイザイ	ナイザイ	内在	名詞	普通名詞	サ変可能	*	*	*	2	-35	O
的	テキ	テキ	的	接尾辞	形状詞的	*	*	*	*	2	-34	O
に	ニ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-ニ	2	-33	O
美術	ビジュツ	ビジュツ	美術	名詞	普通名詞	一般	*	*	*	2	-32	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	-31	O
取り組もう	トリクモー	トリクム	取り組む	動詞	一般	*	*	五段-マ行	意志推量形	2	-30	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	-29	O
いう	ユー	イウ	言う	動詞	一般	*	*	五段-ワア行	連体形-一般	2	-28	O
動き	ウゴキ	ウゴキ	動き	名詞	普通名詞	一般	*	*	*	2	-27	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	-26	O
本格	ホンカク	ホンカク	本格	名詞	普通名詞	一般	*	*	*	2	-25	O
化	カ	カ	化	接尾辞	名詞的	サ変可能	*	*	*	2	-24	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	2	-23	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	2	-22	O
の	ノ	ノ	の	助詞	準体助詞	*	*	*	*	2	-21	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	-20	O
七	ナナ	ナナ	七	名詞	数詞	*	*	*	*	2	-19	O
〇	レー	レイ	零	名詞	数詞	*	*	*	*	2	-18	O
年	ネン	ネン	年	名詞	普通名詞	助数詞可能	*	*	*	2	-17	O
代	ダイ	ダイ	代	名詞	普通名詞	助数詞可能	*	*	*	2	-16	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	-15	O
すれ	スレ	スル	為る	動詞	非自立可能	*	*	サ行変格	仮定形-一般	2	-14	O
ば	バ	バ	ば	助詞	接続助詞	*	*	*	*	2	-13	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-12	O
菅	カン	カン	カン	名詞	固有名詞	人名	姓	*	*	2	-11	O
木	モク	モク	木	名詞	普通名詞	一般	*	*	*	2	-10	O
志雄	シオ	シオ	シオ	名詞	固有名詞	地名	一般	*	*	2	-9	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	-8	O
まさしく	マサシク	マサシク	正しく	副詞	*	*	*	*	*	2	-7	O
その	ソノ	ソノ	其の	連体詞	*	*	*	*	*	2	-6	O
代表	ダイヒョー	ダイヒョウ	代表	名詞	普通名詞	サ変可能	*	*	*	2	-5	O
格	カク	カク	格	名詞	普通名詞	一般	*	*	*	2	-4	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	-3	O
一人	ヒトリ	ヒトリ	一人	名詞	普通名詞	副詞可能	*	*	*	2	-2	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	-1	O
いっ	イッ	イウ	言う	動詞	一般	*	*	五段-ワア行	連用形-促音便	2	0	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	1	B-F
いい	イー	ヨイ	良い	形容詞	非自立可能	*	*	形容詞	終止形-一般	2	2	I-F
。	*	*	。	補助記号	句点	*	*	*	*	2	3	O

六	ロク	ロク	六	名詞	数詞	*	*	*	*	2	-18	O
〇	レー	レイ	零	名詞	数詞	*	*	*	*	2	-17	O
年	ネン	ネン	年	名詞	普通名詞	助数詞可能	*	*	*	2	-16	O
代	ダイ	ダイ	代	名詞	普通名詞	助数詞可能	*	*	*	2	-15	O
後半	コーハン	コウハン	後半	名詞	普通名詞	副詞可能	*	*	*	2	-14	O
から	カラ	カラ	から	助詞	格助詞	*	*	*	*	2	-13	O
展開	テンカイ	テンカイ	展開	名詞	普通名詞	サ変可能	*	*	*	2	-12	O
さ	サ	スル	為る	動詞	非自立可能	*	*	サ行変格	未然形-サ	2	-11	O
れ	レ	レル	れる	助動詞	*	*	*	助動詞-レル	連用形-一般	2	-10	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	2	-9	O
それ	ソレ	ソレ	其れ	代名詞	*	*	*	*	*	2	-8	O
ら	ラ	ラ	等	接尾辞	名詞的	一般	*	*	*	2	-7	O
シリーズ	シリーズ	シリーズ	シリーズ-series	名詞	普通名詞	一般	*	*	*	2	-6	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	-5	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	-4	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-3	O
日本	ニッポン	ニッポン	日本	名詞	固有名詞	地名	国	*	*	2	-2	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	-1	O
陶芸	トーゲー	トウゲイ	陶芸	名詞	普通名詞	一般	*	*	*	2	0	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	1	B-M
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	2	I-M
異質	イシツ	イシツ	異質	名詞	普通名詞	形状詞可能	*	*	*	2	3	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	4	O
強烈	キョーレツ	キョウレツ	強烈	形状詞	一般	*	*	*	*	2	5	O
な	ナ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連体形-一般	2	6	O
個性	コセー	コセイ	個性	名詞	普通名詞	一般	*	*	*	2	7	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	8	O
刻印	コクイン	コクイン	刻印	名詞	普通名詞	サ変可能	*	*	*	2	9	O
さ	サ	スル	為る	動詞	非自立可能	*	*	サ行変格	未然形-サ	2	10	O
れ	レ	レル	れる	助動詞	*	*	*	助動詞-レル	連用形-一般	2	11	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	12	O
いる	イル	イル	居る	動詞	非自立可能	*	*	上一段-ア行	終止形-一般	2	13	O
。	*	*	。	補助記号	句点	*	*	*	*	2	14	O

党内	トーナイ	トウナイ	党内	名詞	普通名詞	一般	*	*	*	2	-11	O
事情	ジジョー	ジジョウ	事情	名詞	普通名詞	一般	*	*	*	2	-10	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	-9	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-8	O
さらに	サラニ	サラニ	更に	副詞	*	*	*	*	*	2	-7	O
複雑	フクザツ	フクザツ	複雑	名詞	普通名詞	形状詞可能	*	*	*	2	-6	O
に	ニ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-ニ	2	-5	O
なっ	ナッ	ナル	成る	動詞	非自立可能	*	*	五段-ラ行	連用形-促音便	2	-4	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	-3	O
いる	イル	イル	居る	動詞	非自立可能	*	*	上一段-ア行	終止形-一般	2	-2	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	-1	O
言っ	イッ	イウ	言う	動詞	一般	*	*	五段-ワア行	連用形-促音便	2	0	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	1	B-F
いい	イー	ヨイ	良い	形容詞	非自立可能	*	*	形容詞	終止形-一般	2	2	I-F
。	*	*	。	補助記号	句点	*	*	*	*	2	3	O

自動	ジドー	ジドウ	自動	名詞	普通名詞	一般	*	*	*	4	-35	O
車	シャ	シャ	車	接尾辞	名詞的	一般	*	*	*	4	-34	O
部品	ブヒン	ブヒン	部品	名詞	普通名詞	一般	*	*	*	4	-33	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	4	-32	O
域内	イキナイ	イキナイ	域内	名詞	普通名詞	一般	*	*	*	4	-31	O
