芦屋	アシヤ	アシヤ	アシヤ	名詞	固有名詞	地名	一般	*	*	2	-8	O	O
れる	レル	レル	れる	助動詞	*	*	*	助動詞-レル	終止形-一般	4	7	O	O
。	*	*	。	補助記号	句点	*	*	*	*	4	8	O	O

麻薬	マヤク	マヤク	麻薬	名詞	普通名詞	一般	*	*	*	2	-14	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	-13	O	O
つい	ツイ	ツク	つく	動詞	一般	*	*	五段-カ行	連用形-イ音便	2	-12	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	-11	O	O
問い合わせ	トイアワセ	トイアワセル	問い合わせる	動詞	一般	*	*	下一段-サ行	連用形-一般	2	-10	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	2	-9	O	O
利用	リヨー	リヨウ	利用	名詞	普通名詞	サ変可能	*	*	*	2	-8	O	O
者	シャ	シャ	者	接尾辞	名詞的	一般	*	*	*	2	-7	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	-6	O	O
よる	ヨル	ヨル	因る	動詞	一般	*	*	五段-ラ行	終止形-一般	2	-5	O	O
と	ト	ト	と	助詞	接続助詞	*	*	*	*	2	-4	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-3	O	O
逮捕	タイホ	タイホ	逮捕	名詞	普通名詞	サ変可能	*	*	*	2	-2	O	O
さ	サ	スル	為る	動詞	非自立可能	*	*	サ行変格	未然形-サ	2	-1	O	O
れ	レ	レル	れる	助動詞	*	*	*	助動詞-レル	連用形-一般	2	0	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	1	B-F	B-F
も	モ	モ	も	助詞	係助詞	*	*	*	*	2	2	I-F	I-F
入手	ニューシュ	ニュウシュ	入手	名詞	普通名詞	サ変可能	*	*	*	2	3	O	O
経路	ケーロ	ケイロ	経路	名詞	普通名詞	一般	*	*	*	2	4	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	5	O	O
絶対	ゼッタイ	ゼッタイ	絶対	名詞	普通名詞	副詞可能	*	*	*	2	6	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	7	O	O
口外	コーガイ	コウガイ	口外	名詞	普通名詞	サ変可能	*	*	*	2	8	O	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	未然形-一般	2	9	O	O
ない	ナイ	ナイ	ない	助動詞	*	*	*	助動詞-ナイ	終止形-一般	2	10	O	O
▽	*	*	▽	補助記号	一般	*	*	*	*	2	11	O	O
支払い	シハライ	シハライ	支払い	名詞	普通名詞	一般	*	*	*	2	12	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	13	O	O
米	ベー	ベイ	米	名詞	普通名詞	一般	*	*	*	2	14	O	O
ドル	ドル	ドル	ドル-dollar	名詞	普通名詞	助数詞可能	*	*	*	2	15	O	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	2	16	O	O
指定	シテー	シテイ	指定	名詞	普通名詞	サ変可能	*	*	*	2	17	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	18	O	O
住所	ジューショ	ジュウショ	住所	名詞	普通名詞	一般	*	*	*	2	19	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	20	O	O
送付	ソーフ	ソウフ	送付	名詞	普通名詞	サ変可能	*	*	*	2	21	O	O
▽	*	*	▽	補助記号	一般	*	*	*	*	2	22	O	O
架空	カクー	カクウ	架空	名詞	普通名詞	形状詞可能	*	*	*	2	23	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	24	O	O
名前	ナマエ	ナマエ	名前	名詞	普通名詞	一般	*	*	*	2	25	O	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	2	26	O	O
受け取り	ウケトリ	ウケトル	受け取る	動詞	一般	*	*	五段-ラ行	連用形-一般	2	27	O	O
住所	ジューショ	ジュウショ	住所	名詞	普通名詞	一般	*	*	*	2	28	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	29	O	O
つくる	ツクル	ツクル	作る	動詞	一般	*	*	五段-ラ行	終止形-一般	2	30	O	O
—	*	*	—	補助記号	一般	*	*	*	*	2	31	O	O
—	*	*	—	補助記号	一般	*	*	*	*	2	32	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	33	O	O
条件	ジョーケン	ジョウケン	条件	名詞	普通名詞	一般	*	*	*	2	34	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	35	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	36	O	O
「	*	*	「	補助記号	括弧開	*	*	*	*	2	37	O	O
ＬＳＤ	エルエスディー	エルエスディー	ＬＳＤ	名詞	普通名詞	一般	*	*	*	2	38	O	O
や	ヤ	ヤ	や	助詞	副助詞	*	*	*	*	2	39	O	O
エクスタシー	エクスタシー	エクスタシー	エクスタシー-ecstasy	名詞	普通名詞	一般	*	*	*	2	40	O	O
（	*	*	（	補助記号	括弧開	*	*	*	*	2	41	O	O
ＭＤＭＡ	エムディーエムエー	エムディーエムエー	ＭＤＭＡ	名詞	普通名詞	一般	*	*	*	2	42	O	O
）	*	*	）	補助記号	括弧閉	*	*	*	*	2	43	O	O
など	ナド	ナド	など	助詞	副助詞	*	*	*	*	2	44	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	45	O	O
普通	フツー	フツウ	普通	名詞	普通名詞	形状詞可能	*	*	*	2	46	O	O
郵便	ユービン	ユウビン	郵便	名詞	普通名詞	一般	*	*	*	2	47	O	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	2	48	O	O
送付	ソーフ	ソウフ	送付	名詞	普通名詞	サ変可能	*	*	*	2	49	O	O
する	スル	スル	為る	動詞	非自立可能	*	*	サ行変格	終止形-一般	2	50	O	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	2	51	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	52	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	53	O	O
電子	デンシ	デンシ	電子	名詞	普通名詞	一般	*	*	*	2	54	O	O
メール	メール	メール	メール-mail	名詞	普通名詞	サ変可能	*	*	*	2	55	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	56	O	O
届い	トドイ	トドク	届く	動詞	一般	*	*	五段-カ行	連用形-イ音便	2	57	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	2	58	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	59	O	O
いう	イウ	イウ	言う	動詞	一般	*	*	五段-ワア行	終止形-一般	2	60	O	O
。	*	*	。	補助記号	句点	*	*	*	*	2	61	O	O

かつて	カツテ	カツテ	嘗て	副詞	*	*	*	*	*	2	-41	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	-40	O	O
中国	チューゴク	チュウゴク	中国	名詞	固有名詞	地名	国	*	*	2	-39	O	O
系	ケー	ケイ	系	接尾辞	名詞的	一般	*	*	*	2	-38	O	O
移民	イミン	イミン	移民	名詞	普通名詞	サ変可能	*	*	*	2	-37	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	-36	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-35	O	O
トロント	トロント	トロント	トロント-Toronto	名詞	固有名詞	地名	一般	*	*	2	-34	O	O
市	シ	シ	市	名詞	普通名詞	一般	*	*	*	2	-33	O	O
内	ナイ	ナイ	内	接尾辞	名詞的	一般	*	*	*	2	-32	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	-31	O	O
チャイナタウン	チャイナタウン	チャイナタウン	チャイナタウン-Chinatown	名詞	普通名詞	一般	*	*	*	2	-30	O	O
など	ナド	ナド	など	助詞	副助詞	*	*	*	*	2	-29	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	-28	O	O
根	ネ	ネ	根	名詞	普通名詞	一般	*	*	*	2	-27	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	-26	O	O
下ろし	オロシ	オロス	下ろす	動詞	一般	*	*	五段-サ行	連用形-一般	2	-25	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-24	O	O
やがて	ヤガテ	ヤガテ	軈て	副詞	*	*	*	*	*	2	-23	O	O
成功	セーコー	セイコウ	成功	名詞	普通名詞	サ変可能	*	*	*	2	-22	O	O
すれ	スレ	スル	為る	動詞	非自立可能	*	*	サ行変格	仮定形-一般	2	-21	O	O
ば	バ	バ	ば	助詞	接続助詞	*	*	*	*	2	-20	O	O
郊外	コーガイ	コウガイ	郊外	名詞	普通名詞	一般	*	*	*	2	-19	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	-18	O	O
各地	カクチ	カクチ	各地	名詞	普通名詞	一般	*	*	*	2	-17	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	-16	O	O
移住	イジュー	イジュウ	移住	名詞	普通名詞	サ変可能	*	*	*	2	-15	O	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	2	-14	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	-13	O	O
いっ	イッ	イク	行く	動詞	非自立可能	*	*	五段-カ行	連用形-促音便	2	-12	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	2	-11	O	O
が	ガ	ガ	が	助詞	接続助詞	*	*	*	*	2	-10	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-9	O	O
中国	チューゴク	チュウゴク	中国	名詞	固有名詞	地名	国	*	*	2	-8	O	O
人	ニン	ニン	人	接尾辞	名詞的	一般	*	*	*	2	-7	O	O
コミュニティー	コミュニティー	コミュニティー	コミュニティー-community	名詞	普通名詞	一般	*	*	*	2	-6	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	-5	O	O
言える	イエル	イウ	言う	動詞	一般	*	*	下一段-ア行	連体形-一般	2	-4	O	O
地域	チイキ	チイキ	地域	名詞	普通名詞	一般	*	*	*	2	-3	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	-2	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-1	O	O
チャイナタウン	チャイナタウン	チャイナタウン	チャイナタウン-Chinatown	名詞	普通名詞	一般	*	*	*	2	0	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	1	B-C	B-C
限ら	カギラ	カギル	限る	動詞	一般	*	*	五段-ラ行	未然形-一般	2	2	I-C	I-C
れ	レ	レル	れる	助動詞	*	*	*	助動詞-レル	連用形-一般	2	3	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	4	O	O
い	イ	イル	居る	動詞	非自立可能	*	*	上一段-ア行	連用形-一般	2	5	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	2	6	O	O
。	*	*	。	補助記号	句点	*	*	*	*	2	7	O	O

我が家	ワガヤ	ワガヤ	我が家	名詞	普通名詞	一般	*	*	*	4	-22	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	4	-21	O	O
娘	ムスメ	ムスメ	娘	名詞	普通名詞	一般	*	*	*	4	-20	O	O
たち	タチ	タチ	達	接尾辞	名詞的	一般	*	*	*	4	-19	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	4	-18	O	O
よる	ヨル	ヨル	因る	動詞	一般	*	*	五段-ラ行	終止形-一般	4	-17	O	O
と	ト	ト	と	助詞	接続助詞	*	*	*	*	4	-16	O	O
、	*	*	、	補助記号	読点	*	*	*	*	4	-15	O	O
若い	ワカイ	ワカイ	若い	形容詞	一般	*	*	形容詞	連体形-一般	4	-14	O	O
連中	レンチュー	レンジュウ	連中	名詞	普通名詞	一般	*	*	*	4	-13	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	4	-12	O	O
間	アイダ	アイダ	間	名詞	普通名詞	副詞可能	*	*	*	4	-11	O	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	4	-10	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	4	-9	O	O
、	*	*	、	補助記号	読点	*	*	*	*	4	-8	O	O
演歌	エンカ	エンカ	演歌	名詞	普通名詞	一般	*	*	*	4	-7	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	4	-6	O	O
受け狙い	ウケネライ	ウケネライ	受け狙い	名詞	普通名詞	一般	*	*	*	4	-5	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	4	-4	O	O
演目	エンモク	エンモク	演目	名詞	普通名詞	一般	*	*	*	4	-3	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	4	-2	O	O
いう	ユー	イウ	言う	動詞	一般	*	*	五段-ワア行	連体形-一般	4	-1	O	O
こと	コト	コト	事	名詞	普通名詞	一般	*	*	*	4	0	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	4	1	B-C	B-C
決まっ	キマッ	キマル	決まる	動詞	一般	*	*	五段-ラ行	連用形-促音便	4	2	I-C	I-C
て	テ	テ	て	助詞	接続助詞	*	*	*	*	4	3	I-C	I-C
いる	イル	イル	居る	動詞	非自立可能	*	*	上一段-ア行	連体形-一般	4	4	I-C	I-C
そう	ソー	ソウ	そう-伝聞	名詞	助動詞語幹	*	*	*	*	4	5	O	O
だ	ダ	ダ	だ	助動詞	*	*	*	助動詞-ダ	終止形-一般	4	6	O	O
。	*	*	。	補助記号	句点	*	*	*	*	4	7	O	O

司法	シホー	シホウ	司法	名詞	普通名詞	一般	*	*	*	3	-2	O	O
試験	シケン	シケン	試験	名詞	普通名詞	サ変可能	*	*	*	3	-1	O	O
改革	カイカク	カイカク	改革	名詞	普通名詞	サ変可能	*	*	*	3	0	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	1	B-F	B-F
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	3	2	I-F	I-F
て	テ	テ	て	助詞	接続助詞	*	*	*	*	3	3	I-F	I-F
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	3	4	O	O
、	*	*	、	補助記号	読点	*	*	*	*	3	5	O	O
もう	モー	モウ	もう	副詞	*	*	*	*	*	3	6	O	O
一	イチ	イチ	一	名詞	数詞	*	*	*	*	3	7	O	O
点	テン	テン	点	名詞	普通名詞	助数詞可能	*	*	*	3	8	O	O
「	*	*	「	補助記号	括弧開	*	*	*	*	3	9	O	O
合格	ゴーカク	ゴウカク	合格	名詞	普通名詞	サ変可能	*	*	*	3	10	O	O
枠	ワク	ワク	枠	名詞	普通名詞	一般	*	*	*	3	11	O	O
制	セー	セイ	制	接尾辞	名詞的	一般	*	*	*	3	12	O	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	3	13	O	O
問題	モンダイ	モンダイ	問題	名詞	普通名詞	一般	*	*	*	3	14	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	3	15	O	O
あり	アリ	アル	有る	動詞	非自立可能	*	*	五段-ラ行	連用形-一般	3	16	O	O
ます	マス	マス	ます	助動詞	*	*	*	助動詞-マス	終止形-一般	3	17	O	O
。	*	*	。	補助記号	句点	*	*	*	*	3	18	O	O

岩堀	イワホリ	イワホリ	イワホリ	名詞	固有名詞	人名	姓	*	*	3	-3	O	O
　	*	*	　	空白	*	*	*	*	*	3	-2	O	O
監督	カントク	カントク	監督	名詞	普通名詞	サ変可能	*	*	*	3	-1	O	O
官庁	カンチョー	カンチョウ	官庁	名詞	普通名詞	一般	*	*	*	3	0	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	3	1	B-F	B-F
いい	イー	イウ	言う	動詞	一般	*	*	五段-ワア行	連用形-一般	3	2	I-F	I-F
ながら	ナガラ	ナガラ	ながら	助詞	接続助詞	*	*	*	*	3	3	I-F	I-F
、	*	*	、	補助記号	読点	*	*	*	*	3	4	O	O
権限	ケンゲン	ケンゲン	権限	名詞	普通名詞	一般	*	*	*	3	5	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	3	6	O	O
大蔵	オークラ	オオクラ	大蔵	名詞	普通名詞	一般	*	*	*	3	7	O	O
省	ショー	ショウ	省	接尾辞	名詞的	一般	*	*	*	3	8	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	3	9	O	O
持っ	モッ	モツ	持つ	動詞	一般	*	*	五段-タ行	連用形-促音便	3	10	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	3	11	O	O
いる	イル	イル	居る	動詞	非自立可能	*	*	上一段-ア行	終止形-一般	3	12	O	O
。	*	*	。	補助記号	句点	*	*	*	*	3	13	O	O

前半	ゼンハン	ゼンハン	前半	名詞	普通名詞	副詞可能	*	*	*	2	-14	O	O
３	サン	サン	三	名詞	数詞	*	*	*	*	2	-13	O	O
５	ゴ	ゴ	五	名詞	数詞	*	*	*	*	2	-12	O	O
分	フン	フン	分	名詞	普通名詞	助数詞可能	*	*	*	2	-11	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-10	O	O
中山	ナカヤマ	ナカヤマ	ナカヤマ	名詞	固有名詞	人名	姓	*	*	2	-9	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	-8	O	O
シュート	シュート	シュート	シュート-shoot	名詞	普通名詞	サ変可能	*	*	*	2	-7	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	-6	O	O
ＧＫ	ジーケー	ジーケー	ＧＫ	名詞	普通名詞	一般	*	*	*	2	-5	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	-4	O	O
当たっ	アタッ	アタル	当たる	動詞	一般	*	*	五段-ラ行	連用形-促音便	2	-3	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	-2	O	O
はね返っ	ハネカエッ	ハネカエル	跳ね返る	動詞	一般	*	*	五段-ラ行	連用形-促音便	2	-1	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	2	0	O	O
ところ	トコロ	トコロ	所	名詞	普通名詞	副詞可能	*	*	*	2	1	B-F	B-F
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	2	I-F	I-F
スキラッチ	スキラッチ	スキラッチ	スキラッチ-外国	名詞	固有名詞	人名	一般	*	*	2	3	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	4	O	O
決め	キメ	キメル	決める	動詞	一般	*	*	下一段-マ行	連用形-一般	2	5	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	6	O	O
先制	センセー	センセイ	先制	名詞	普通名詞	サ変可能	*	*	*	2	7	O	O
。	*	*	。	補助記号	句点	*	*	*	*	2	8	O	O

河野	コーノ	コウノ	コウノ	名詞	固有名詞	人名	姓	*	*	2	-34	O	O
洋平	ヨーヘー	ヨウヘイ	ヨウヘイ	名詞	固有名詞	人名	名	*	*	2	-33	O	O
副	フク	フク	副	接頭辞	*	*	*	*	*	2	-32	O	O
総理	ソーリ	ソウリ	総理	名詞	普通名詞	サ変可能	*	*	*	2	-31	O	O
・	*	*	・	補助記号	一般	*	*	*	*	2	-30	O	O
外相	ガイショー	ガイショウ	外相	名詞	普通名詞	一般	*	*	*	2	-29	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	-28	O	O
三十	サンジュー	サンジュウ	三十	名詞	数詞	*	*	*	*	2	-27	O	O
日	ニチ	ニチ	日	名詞	普通名詞	助数詞可能	*	*	*	2	-26	O	O
夜	ヨル	ヨル	夜	名詞	普通名詞	副詞可能	*	*	*	2	-25	O	O
記者	キシャ	キシャ	記者	名詞	普通名詞	一般	*	*	*	2	-24	O	O
会見	カイケン	カイケン	会見	名詞	普通名詞	サ変可能	*	*	*	2	-23	O	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	2	-22	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-21	O	O
日朝	ニッチョー	ニッチョウ	日朝	名詞	普通名詞	一般	*	*	*	2	-20	O	O
会談	カイダン	カイダン	会談	名詞	普通名詞	サ変可能	*	*	*	2	-19	O	O
再開	サイカイ	サイカイ	再開	名詞	普通名詞	サ変可能	*	*	*	2	-18	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	-17	O	O
合意	ゴーイ	ゴウイ	合意	名詞	普通名詞	サ変可能	*	*	*	2	-16	O	O
書	ショ	ショ	書	接尾辞	名詞的	一般	*	*	*	2	-15	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	-14	O	O
つい	ツイ	ツク	つく	動詞	一般	*	*	五段-カ行	連用形-イ音便	2	-13	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	-12	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-11	O	O
「	*	*	「	補助記号	括弧開	*	*	*	*	2	-10	O	O
今後	コンゴ	コンゴ	今後	名詞	普通名詞	副詞可能	*	*	*	2	-9	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-8	O	O
準備	ジュンビ	ジュンビ	準備	名詞	普通名詞	サ変可能	*	*	*	2	-7	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	-6	O	O
整い	トトノイ	トトノウ	整う	動詞	一般	*	*	五段-ワア行	連用形-一般	2	-5	O	O
次第	シダイ	シダイ	次第	名詞	普通名詞	副詞可能	*	*	*	2	-4	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-3	O	O
政府	セーフ	セイフ	政府	名詞	普通名詞	一般	*	*	*	2	-2	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	-1	O	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	2	0	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	1	B-B	B-B
も	モ	モ	も	助詞	係助詞	*	*	*	*	2	2	I-B	I-B
（	*	*	（	補助記号	括弧開	*	*	*	*	2	3	O	O
日朝	ニッチョー	ニッチョウ	日朝	名詞	普通名詞	一般	*	*	*	2	4	O	O
国交	コッコー	コッコウ	国交	名詞	普通名詞	一般	*	*	*	2	5	O	O
正常	セージョー	セイジョウ	正常	名詞	普通名詞	形状詞可能	*	*	*	2	6	O	O
化	カ	カ	化	接尾辞	名詞的	サ変可能	*	*	*	2	7	O	O
）	*	*	）	補助記号	括弧閉	*	*	*	*	2	8	O	O
交渉	コーショー	コウショウ	交渉	名詞	普通名詞	サ変可能	*	*	*	2	9	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	10	O	O
臨む	ノゾム	ノゾム	臨む	動詞	一般	*	*	五段-マ行	連体形-一般	2	11	O	O
つもり	ツモリ	ツモリ	積り	名詞	普通名詞	一般	*	*	*	2	12	O	O
だ	ダ	ダ	だ	助動詞	*	*	*	助動詞-ダ	終止形-一般	2	13	O	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	2	14	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	15	O	O
述べ	ノベ	ノベル	述べる	動詞	一般	*	*	下一段-バ行	連用形-一般	2	16	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	2	17	O	O
。	*	*	。	補助記号	句点	*	*	*	*	2	18	O	O

激減	ゲキゲン	ゲキゲン	激減	名詞	普通名詞	サ変可能	*	*	*	4	-4	O	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	4	-3	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	4	-2	O	O
いる	イル	イル	居る	動詞	非自立可能	*	*	上一段-ア行	終止形-一般	4	-1	O	O
、	*	*	、	補助記号	読点	*	*	*	*	4	0	O	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	4	1	B-B	B-C
いっ	イッ	イウ	言う	動詞	一般	*	*	五段-ワア行	連用形-促音便	4	2	I-B	I-C
て	テ	テ	て	助詞	接続助詞	*	*	*	*	4	3	I-B	I-C
も	モ	モ	も	助詞	係助詞	*	*	*	*	4	4	I-B	I-C
いい	イー	ヨイ	良い	形容詞	非自立可能	*	*	形容詞	終止形-一般	4	5	O	O
だろう	ダロー	ダ	だ	助動詞	*	*	*	助動詞-ダ	意志推量形	4	6	O	O
。	*	*	。	補助記号	句点	*	*	*	*	4	7	O	O

「	*	*	「	補助記号	括弧開	*	*	*	*	2	-11	O	O
植民	ショクミン	ショクミン	植民	名詞	普通名詞	サ変可能	*	*	*	2	-10	O	O
地	チ	チ	地	名詞	普通名詞	一般	*	*	*	2	-9	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	-8	O	O
解放	カイホー	カイホウ	解放	名詞	普通名詞	サ変可能	*	*	*	2	-7	O	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	2	-6	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	-5	O	O
大義	タイギ	タイギ	大義	名詞	普通名詞	一般	*	*	*	2	-4	O	O
名分	メーブン	メイブン	名分	名詞	普通名詞	一般	*	*	*	2	-3	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	-2	O	O
掲げ	カカゲ	カカゲル	掲げる	動詞	一般	*	*	下一段-ガ行	連用形-一般	2	-1	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	2	0	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	1	B-F	B-F
しろ	シロ	スル	為る	動詞	非自立可能	*	*	サ行変格	命令形	2	2	I-F	I-F
、	*	*	、	補助記号	読点	*	*	*	*	2	3	O	O
対等	タイトー	タイトウ	対等	形状詞	一般	*	*	*	*	2	4	O	O
に	ニ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-ニ	2	5	O	O
見	ミ	ミル	見る	動詞	非自立可能	*	*	上一段-マ行	連用形-一般	2	6	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	7	O	O
い	イ	イル	居る	動詞	非自立可能	*	*	上一段-ア行	未然形-一般	2	8	O	O
なかっ	ナカッ	ナイ	ない	助動詞	*	*	*	助動詞-ナイ	連用形-促音便	2	9	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	2	10	O	O
こと	コト	コト	事	名詞	普通名詞	一般	*	*	*	2	11	O	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	2	12	O	O
否定	ヒテー	ヒテイ	否定	名詞	普通名詞	サ変可能	*	*	*	2	13	O	O
でき	デキ	デキル	出来る	動詞	非自立可能	*	*	上一段-カ行	未然形-一般	2	14	O	O
ない	ナイ	ナイ	ない	助動詞	*	*	*	助動詞-ナイ	終止形-一般	2	15	O	O
だろう	ダロー	ダ	だ	助動詞	*	*	*	助動詞-ダ	意志推量形	2	16	O	O
。	*	*	。	補助記号	句点	*	*	*	*	2	17	O	O

問屋	トンヤ	トンヤ	問屋	名詞	普通名詞	一般	*	*	*	2	-5	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	-4	O	O
軒	ノキ	ノキ	軒	名詞	普通名詞	一般	*	*	*	2	-3	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	-2	O	O
連ねる	ツラネル	ツラネル	連ねる	動詞	一般	*	*	下一段-ナ行	連体形-一般	2	-1	O	O
船場	フナバ	フナバ	船場	名詞	普通名詞	一般	*	*	*	2	0	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	1	B-B	B-C
はじめ	ハジメ	ハジメ	始め	名詞	普通名詞	副詞可能	*	*	*	2	2	I-B	I-C
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	3	O	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	2	4	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	5	O	O
商い	アキナイ	アキナイ	商い	名詞	普通名詞	一般	*	*	*	2	6	O	O
